"Basin","Constraint","Average scaling exponent","Scaling exponent lower c.i.","Scaling exponent upper c.i.","Average intercept","Intercept lower c.i.","Intercept upper c.i.","Average R-Squared","R-Squared lower c.i.","R-Squared upper c.i.","Average RMSE","RMSE lower c.i.","RMSE upper c.i.","Bootstraping method"
"willamette","max",0.46971772450222,0.439455347525122,0.498566008558089,9.88818364744685,9.79976034174588,9.97690924343906,0.950021712002882,0.924505911634717,0.97088224841502,0.188180918198407,0.139082148968357,0.237338990953415,"Bootstrap all paths"
"willamette","med",0.443213648515763,0.432033728543429,0.454126608275385,8.56357670207204,8.53068425138524,8.59590639969055,0.948051554642457,0.938329066158985,0.957196160622367,0.1825639606127,0.166145336814262,0.200290464557099,"Bootstrap all paths"
"willamette","min",2.22205317267781,2.12729472939719,2.31479151261304,-5.55295698922057,-5.83920077343844,-5.17403745542184,0.899686093223383,0.868395280234118,0.932151982946788,1.30371738479145,1.06544617342726,1.51553125774997,"Bootstrap all paths"
"yakima","max",0.460332079147829,0.434071302216597,0.486398480377214,9.63768011122674,9.54658335091566,9.71693949257857,0.903930656649864,0.870396073355334,0.935363149301905,0.269805951682943,0.221431970734876,0.315786286057087,"Bootstrap all paths"
"yakima","med",0.649691072659937,0.540483014847321,0.764151205729317,5.77060608180954,5.3253662697648,6.15664513740017,0.646010893229951,0.540070786817925,0.754014808680977,0.868941531239954,0.668964620798435,1.13584424312377,"Bootstrap all paths"
"yakima","min",0.68990358723576,0.50655418499495,0.853396699797512,-3.73656760347324,-4.27359471051206,-3.04510505131405,0.461682180833432,0.329800544800951,0.59548703139572,1.33876290032824,1.13035439802892,1.49001634659822,"Bootstrap all paths"
"willamette","max",0.429629416195765,0.395640785181761,0.464059776713558,9.69448218308301,9.55668536908757,9.82178765658448,0.939079180893412,0.898031927936346,0.968082199799142,0.202753928539165,0.144958348039822,0.267934727693347,"Bootstrap random paths"
"willamette","med",0.472519214822029,0.442413381780882,0.500809428146339,8.50389054471007,8.38903744762469,8.61123986616807,0.962400918363597,0.934257856202617,0.981742308332721,0.172396820362625,0.123565071059892,0.229462109854951,"Bootstrap random paths"
"willamette","min",2.21880797376499,1.96683680413995,2.39248026818731,-3.39391535565361,-4.21033815882442,-2.20324213204055,0.859274201552055,0.750763645302091,0.911106139084423,1.66869468326897,1.31198959329667,2.16182415147627,"Bootstrap random paths"
"yakima","max",0.406097101822222,0.347907443352979,0.463178645995831,9.41545604758527,9.2131716270829,9.59539351345293,0.860243439926522,0.782992549858544,0.939150967269508,0.290865215236956,0.190450666918237,0.384071686138672,"Bootstrap random paths"
"yakima","med",0.680074582171598,0.470966841207212,0.922701512464357,5.85356028715759,4.78013657786523,6.68088706107907,0.480968934616451,0.233672396327282,0.740830123595837,1.29463316203682,0.707676918279158,1.84867341872853,"Bootstrap random paths"
"yakima","min",0.679346271617367,0.454140357257384,0.878138890345804,-2.13243102882487,-2.913468768637,-1.18963318235922,0.400189624122857,0.259841205276735,0.589950787913041,1.50844561887542,0.906154373900696,1.87840522783579,"Bootstrap random paths"
