"","Mean","Lower CI.2.5%","Upper CI.97.5%"
"Intercept",-11.2444591427847,-14.0300748873936,-8.59657670736014
"wshd_area_km2",1.39899049635453,1.25228177055406,1.57953154681182
"accm_water_exchng_kg_d",1.08836049467784,1.04262143075089,1.13926841552552
"mean_ann_pcpt_mm",0.0747042626188362,-0.251268260631288,0.403947189161464
"wshd_max_elevation_m",-0.046549507968933,-0.201649798923105,0.0737692271696239
"mean_ann_flow_m3s",-0.411004156513708,-0.578356433772081,-0.289721073700136
"basin",-0.427316643430362,-0.751657685811595,-0.0549551370578422
