"Intercept","wshd_area_km2","accm_water_exchng_kg_d","mean_ann_pcpt_mm","wshd_max_elevation_m","mean_ann_flow_m3s","basin"
-12.4049851888299,1.51258974750794,1.08327971950698,0.119837811628107,-0.00171951844419593,-0.520662739785027,-0.353688920929947
-9.04370489321555,1.26051235516378,1.08306679508788,-0.176540987339696,-0.0200767627492583,-0.310236126559134,-0.531432964626379
-9.34744914888695,1.27318635730584,1.11288290269255,-0.130135406202289,-0.112131703926985,-0.31870718514469,-0.464683554410998
-11.4723234509258,1.37561005934071,1.09442226259506,0.183080918773393,-0.119764805646603,-0.359867954969899,-0.186341914033524
-11.66098531003,1.48408174721469,1.08468438868351,0.0925971083023014,-0.0294780364381241,-0.48679916346317,-0.544764633212159
-10.9423348622228,1.3642322385954,1.09097418540139,0.0366524293253243,-0.052607625769612,-0.37576916580569,-0.246398306584744
-11.9240866753978,1.39125548344408,1.09240932980125,0.098784432834209,0.0291142350858029,-0.432487884847881,-0.62050309696364
-11.7516405655829,1.38650462139049,1.09620022176257,0.141175578804063,-0.0522504691131541,-0.393848021592361,-0.367982575586698
-11.8067965107323,1.45898811211813,1.11588139032095,0.138782195204787,-0.126407746907618,-0.476498595810574,-0.387805166621598
-11.5709930374246,1.32943497869507,1.06881302508457,0.142667037618834,0.0185495949003729,-0.354996451216888,-0.329769274922761
-11.3515317673015,1.38730662040109,1.10055477379578,0.0585945087304042,-0.0402811453577689,-0.426517447583262,-0.41563042536267
-12.5129537352321,1.49430240300434,1.0706673304921,0.267472651009753,-0.0608405577784259,-0.470035373045835,-0.460560332985254
-11.7544838837865,1.45834671595588,1.08314716246825,0.159256416268151,-0.09535238596043,-0.427341769748508,-0.103242261301845
-10.5770821274431,1.37532974699411,1.09101233049631,0.00983268458540455,-0.0682353632592484,-0.395801306592676,-0.49200903481315
-12.7928966371904,1.51056338986409,1.09261404065553,0.226143459913924,-0.0950655079435185,-0.483868828218831,-0.0461850281046803
-13.1208736074545,1.54011783203352,1.13929260499364,0.303898320176249,-0.213827993388697,-0.541076833884771,-0.223772422803179
-9.9501651788306,1.31069019592687,1.09064490976558,-0.0884486188007154,-0.0446258111384397,-0.328217110921988,-0.494935657964379
-11.160327921858,1.3753183180079,1.03664536596476,0.204261913158283,-0.04469328121213,-0.341445256118103,-0.307576570597988
