"basin","hzt_cat","slope","intercept","r_squared","p_value"
"willamette","Q10",0.518192745599906,-9.30816354310863,0.184993611306756,1.30210942911225e-43
"willamette","Q20",-0.039612830219506,-3.59581505315368,0.00476875664406536,0.0464514591051687
"willamette","Q30",-0.0851275512573571,-1.01822558855,0.039746709588244,1.10448490782799e-09
"willamette","Q40",-0.0205831719253203,0.208226216952201,0.00305415078572748,0.0883406196612838
"willamette","Q50",0.0516953470764197,0.362414263059007,0.0119141957706053,0.000665136874214149
"willamette","Q60",0.0684908730253206,0.539299009215401,0.0310216656248981,3.41281615110911e-08
"willamette","Q70",0.0884135988890872,0.78068309278138,0.0551764843291127,1.26006736156048e-13
"willamette","Q80",0.110721311431923,1.22334098873428,0.101408878810704,3.7569821419322e-23
"willamette","Q90",0.067463899222751,2.08419220560882,0.0296393849974006,1.383970908863e-06
"willamette","Q100",0.124798978305,2.97246552516252,0.0464213936943324,4.85191312083638e-09
"yakima","Q10",0.079011600344058,-8.28040801983486,0.0120712860592226,0.00514631829118252
"yakima","Q20",-0.0630841588235911,-6.41453445946424,0.0187884345526428,0.000481383811621839
"yakima","Q30",0.0106925011160849,-5.64183876298126,0.00048207764872009,0.578093163201467
"yakima","Q40",0.0679550699291419,-4.35244103014108,0.0251840977328179,0.000188797855805373
"yakima","Q50",-0.0668461380516608,-2.23399840282987,0.0171471263066161,0.00166668732916118
"yakima","Q60",-0.0730873013819333,-0.802736666704552,0.0321252385002246,6.4192688306686e-06
"yakima","Q70",-0.141653640244489,0.271815136472165,0.135669907008428,1.50544451765895e-21
"yakima","Q80",-0.0728620468404556,0.826042460331656,0.0591822364063245,4.7695462583753e-10
"yakima","Q90",0.021609714810951,1.34973762661557,0.00390879426936349,0.122956802377691
"yakima","Q100",0.0620774139622705,2.53308502766355,0.00939080303744973,0.0625883456322884
