"basin","log_mean_ann_pcpt_mm","log_wshd_max_elev_m","log_wshd_min_elev_m","log_mean_ann_runf_mm","log_mean_ann_flow_m3s","log_forest_3scp","log_shrub_3scp","log_human_3scp","log_ht_3","log_simpson_d3","log_accm_totco2_o2g_day_km2"
"yakima",5.27878786206842,7.81937511920639,4.51666678739669,2.19722457733622,4.62998810389815,3.39952932456146,3.91082228485163,3.00171434523154,0.396517307108083,-0.477361915151817,11.3753700906475
"yakima",5.31233371602162,7.81937511920639,4.51666678739669,2.19722457733622,4.62998782783515,3.39952932456146,3.91082228485163,3.00171434523154,0.396517307108083,-0.477361915151817,11.3753730252309
"yakima",5.27924663147139,7.81937511920639,4.51666678739669,2.19722457733622,4.62945101722279,3.41048742856925,3.91461963127541,2.97501923195645,0.3934172357184,-0.480242007020435,11.3865618356211
"yakima",5.27541201082344,7.81937511920639,4.51666678739669,2.19722457733622,4.62944908374199,3.41081762503915,3.91461963127541,2.97501923195645,0.393433519668591,-0.480339921132282,11.3866012527114
"yakima",5.2721273834578,7.81937511920639,4.51666678739669,2.19722457733622,4.62944853131822,3.41081762503915,3.91442013002787,2.97501923195645,0.393466283703314,-0.480177867724345,11.3866125117282
"yakima",5.2721273834578,7.81937511920639,4.51666678739669,2.19722457733622,4.62944853131822,3.41081762503915,3.91442013002787,2.97501923195645,0.393466283703314,-0.480177867724345,11.3866125561888
"yakima",5.28323416527987,7.81937511920639,4.51666678739669,2.19722457733622,4.62944797889414,3.41081762503915,3.91442013002787,2.97501923195645,0.393466283703314,-0.480177867724345,11.3866218923596
"yakima",5.29626027167845,7.81937511920639,4.65386510752685,2.19722457733622,4.62942974872835,3.41114771251532,3.91481909273015,2.97450863710236,0.393358294416264,-0.480536667439855,11.3869787899769
"yakima",5.34513413766712,7.81937511920639,4.65386510752685,2.155814446935,4.62942864385914,3.41114771251532,3.91481909273015,2.97450863710236,0.393358294416264,-0.480536667439855,11.3870013813031
"yakima",5.36513919811907,7.81937511920639,4.65747796561144,2.12477574087588,4.62941372800527,3.41147769106971,3.91481909273015,2.97348666460667,0.393256915130388,-0.480508096484115,11.387322968408
"yakima",5.28353867816916,7.81937511920639,4.6609832508073,2.19722457733622,4.62939328739973,3.41180756077417,3.91481909273015,2.97246364661464,0.393155283775286,-0.480479688029618,11.3877278000577
"yakima",5.30396137005318,7.81937511920639,4.66786325532652,2.19722457733622,4.62939190626266,3.41180756077417,3.91481909273015,2.97246364661464,0.393155283775286,-0.480479688029618,11.3876341394465
"yakima",5.33342383978242,7.81937511920639,4.66936489803009,2.17685394208739,4.62939024889567,3.41213732170049,3.91481909273015,2.97246364661464,0.39317146968082,-0.480577754778356,11.3876613532727
"yakima",5.29966148231957,7.81937511920639,4.68987891391505,2.19722457733622,4.62934135533349,3.41312595252743,3.91541723849616,2.96990151351947,0.392825912186333,-0.481043318994907,11.3884983313418
"yakima",5.30158701541566,7.81937511920639,4.69345575085545,2.19722457733622,4.62934025036661,3.41312595252743,3.91541723849616,2.96990151351947,0.392825912186333,-0.481043318994907,11.3884889574729
"yakima",5.27798710007479,7.81937511920639,4.71518983102664,2.19722457733622,4.62929411690969,3.4141136069287,3.91541723849616,2.96733279903229,0.392577017776003,-0.481023258955207,11.3893445626641
"yakima",5.27936387863095,7.81937511920639,4.72579362831183,2.19722457733622,4.62927035873038,3.41444260841218,3.91561654093828,2.96630346286318,0.392440984614283,-0.481158219007674,11.3898269205041
"yakima",5.28154755550183,7.81937511920639,4.72694524291401,2.19722457733622,4.62926925368505,3.41444260841218,3.91561654093828,2.96630346286318,0.392440984614283,-0.481158219007674,11.3898462430539
"yakima",5.28130849320251,7.81937511920639,4.72906782264433,2.19722457733622,4.62926925368505,3.41444260841218,3.91561654093828,2.96630346286318,0.392440984614283,-0.481158219007674,11.389759587228
"yakima",5.2896045196956,7.81937511920639,4.73435464436892,2.19722457733622,4.62926870116193,3.41444260841218,3.91561654093828,2.96630346286318,0.392440984614283,-0.481158219007674,11.3896916620256
"yakima",5.28591578383029,7.81937511920639,4.74013804639858,2.19722457733622,4.62923168141714,3.41542896390888,3.91581580366684,2.96475746925456,0.392276802354618,-0.481427530230279,11.39045831078
"yakima",5.29685125322894,7.81937511920639,4.74083679740963,2.19722457733622,4.62923140514523,3.41542896390888,3.91581580366684,2.96475746925456,0.392276802354618,-0.481427530230279,11.3904607252695
"yakima",5.29346557652685,7.81937511920639,4.74527989397274,2.19722457733622,4.62922560341762,3.41542896390888,3.91581580366684,2.96424160646262,0.392216901642365,-0.481364787488003,11.3905730988126
"yakima",5.29497683222099,7.81937511920639,4.7488375358005,2.19722457733622,4.62922145930585,3.41542896390888,3.91581580366684,2.96424160646262,0.392216901642365,-0.481364787488003,11.3906527035318
"yakima",5.3007443993697,7.81937511920639,4.7518645651389,2.19722457733622,4.62921731517692,3.41575753299349,3.91581580366684,2.9637254774189,0.392172885729247,-0.481400584515624,11.3907357076025
"yakima",5.3324675917169,7.81937511920639,4.76482000351763,2.18256768799259,4.62920405384891,3.41575753299349,3.91601502669768,2.96320908184843,0.392080049497272,-0.481500376304331,11.3909317388242
"yakima",5.3125851159028,7.81937511920639,4.76686377498608,2.19722457733622,4.62914271791919,3.41707073081845,3.91661245776195,2.95958682691764,0.391623290570857,-0.481944623996185,11.3922345645388
"yakima",5.31575449143443,7.81937511920639,4.81688871963283,2.19722457733622,4.62903246956047,3.41969196429832,3.91521789632467,2.96010509591084,0.392038965772772,-0.481659973232109,11.3937351918894
